run,random_seed,year,operations_management_administration,insurance,annual_leases_fees,operating_facilities,environmental_health_safety_monitoring,onshore_electrical_maintenance,labor
1,1,2002,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2003,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2004,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
1,1,2005,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2006,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2007,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2008,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
1,1,2009,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2010,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2011,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2012,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
1,1,2013,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2014,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2015,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2016,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
1,1,2017,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2018,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2019,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
1,1,2020,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
1,1,2021,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2002,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2003,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2004,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
2,2,2005,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2006,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2007,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2008,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
2,2,2009,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2010,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2011,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2012,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
2,2,2013,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2014,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2015,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2016,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
2,2,2017,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2018,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2019,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
2,2,2020,5198202.7397260275,4115243.835616438,589129.6438356165,368206.02739726024,0.0,0.0,1082958.904109589
2,2,2021,5184000.0,4104000.0,587520.0000000001,367200.0,0.0,0.0,1080000.0
