windspeed_ms,power_kw
3.5,178
4.0,414
4.5,717
5.0,1096
5.5,1559
6.0,2115
6.5,2771
7.0,3536
7.5,4418
8.0,5427
8.5,6569
9.0,7855
9.5,9291
10.0,10887
10.5,12650
11.0,14590
11.5,15000
12.0,15000
12.5,15000
13.0,15000
13.5,15000
14.0,15000
14.5,15000
15.0,15000
15.5,15000
16.0,15000
16.5,15000
17.0,15000
17.5,15000
18.0,15000
18.5,15000
19.0,15000
19.5,15000
20.0,15000
20.5,15000
21.0,15000
21.5,15000
22.0,15000
22.5,15000
23.0,15000
23.5,15000
24.0,15000
24.5,15000
25.0,15000
25.5,15000
26.0,15000
26.5,15000
27.0,15000
27.5,15000
28.0,15000
28.5,15000
29.0,15000
29.5,15000
30.0,15000
30.5,15000
31.0,15000
